"SNR","CX","SC","NEW"
0,0.048,0.043,0.049
1,0.057,0.061,0.107
2,0.079,0.065,0.174
3,0.087,0.053,0.307
4,0.127,0.061,0.412
5,0.122,0.034,0.57
6,0.139,0.055,0.738
7,0.165,0.061,0.847
8,0.181,0.055,0.915
9,0.212,0.052,0.943
10,0.225,0.051,0.977
