"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.081,0.0298,0.0816,0.0746,0.0366
1,0.1366,0.0998,0.1364,0.1264,0.4518
2,0.2294,0.2854,0.2308,0.2114,0.9508
3,0.3908,0.424,0.3898,0.3636,0.9982
4,0.5658,0.6914,0.5656,0.5344,1
