"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0558,0.034,0.0554,0.0558,0.0532
1,0.1312,0.0418,0.1324,0.131,0.1
2,0.2684,0.0604,0.2674,0.2684,0.1962
3,0.4292,0.0654,0.4304,0.429,0.3104
4,0.6058,0.0846,0.6042,0.6046,0.4544
