"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0764,0.038,0.076,0.0696,0.0348
1,0.1366,0.4968,0.1362,0.125,0.547
2,0.2344,0.9666,0.2348,0.216,0.9842
3,0.3784,0.9998,0.3794,0.3528,1
4,0.5814,1,0.5816,0.5476,1
