"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0864,0.0262,0.0864,0.07,0.0468
0.2,0.0822,0.217,0.0826,0.0684,0.9998
0.4,0.0956,0.519,0.0956,0.0802,1
0.6,0.1056,0.8002,0.1048,0.0868,1
0.8,0.1214,0.946,0.122,0.102,1
