"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0712,0.0308,0.0714,0.0618,0.0502
0.5,0.0968,0.1824,0.0978,0.0892,0.2254
1,0.1364,0.4742,0.1356,0.1232,0.6204
1.5,0.1716,0.6978,0.1718,0.1576,0.863
2,0.2252,0.9496,0.2256,0.2036,0.9886
2.5,0.302,0.9966,0.3008,0.2814,0.9998
3,0.3826,1,0.3822,0.355,1
3.5,0.4638,1,0.467,0.4306,1
4,0.5714,1,0.5744,0.5408,1
