"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.074,0.03,0.074,0.0594,0.0608
0.1,0.078,0.1374,0.0784,0.0644,0.9712
0.2,0.0748,0.3794,0.0754,0.0584,1
0.3,0.0898,0.685,0.0898,0.0698,1
0.4,0.093,0.907,0.0932,0.0758,1
0.5,0.0984,0.989,0.0978,0.0772,1
0.6,0.1062,0.9978,0.1062,0.0846,1
0.7,0.1082,1,0.1082,0.0898,1
0.8,0.1216,1,0.122,0.0974,1
