"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.072,0.0284,0.072,0.0588,0.057
0.1,0.0828,0.1008,0.0826,0.0676,0.9984
0.2,0.0776,0.2072,0.0778,0.062,1
0.3,0.0844,0.3678,0.0838,0.0692,1
0.4,0.0938,0.536,0.0936,0.0734,1
0.5,0.0982,0.6842,0.0988,0.0814,1
0.6,0.1036,0.8328,0.1034,0.0848,1
0.7,0.1084,0.9174,0.1082,0.088,1
0.8,0.119,0.9716,0.119,0.0968,1
