"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.073,0.0322,0.072,0.0574,0.0512
0.1,0.0802,0.1408,0.0794,0.0684,0.6376
0.2,0.079,0.3488,0.0794,0.0674,0.9918
0.3,0.093,0.6404,0.0928,0.0794,1
0.4,0.0958,0.845,0.0956,0.0752,1
0.5,0.1016,0.9616,0.1016,0.085,1
0.6,0.112,0.9958,0.1116,0.0924,1
0.7,0.116,0.9992,0.1158,0.0944,1
0.8,0.115,1,0.1162,0.0984,1
