"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0538,0.0314,0.0546,0.0536,0.0494
0.5,0.0908,0.0336,0.09,0.0906,0.082
1,0.1316,0.0406,0.131,0.1312,0.1306
1.5,0.1858,0.0442,0.1846,0.1854,0.1784
2,0.2586,0.0504,0.2586,0.2584,0.252
2.5,0.355,0.0564,0.3562,0.3548,0.3498
3,0.4244,0.0576,0.424,0.4242,0.4484
3.5,0.5102,0.0718,0.5098,0.5088,0.5298
4,0.6028,0.0712,0.602,0.6022,0.6378
