"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0606,0.0196,0.0596,0.0604,0.0418
0.5,0.0884,0.0296,0.089,0.088,0.0656
1,0.1408,0.0252,0.1412,0.1402,0.0864
1.5,0.1994,0.0278,0.1994,0.198,0.1192
2,0.269,0.0274,0.268,0.2674,0.1678
2.5,0.3468,0.026,0.3468,0.346,0.209
3,0.4438,0.0302,0.4442,0.4426,0.2812
3.5,0.5228,0.0258,0.522,0.521,0.3358
4,0.6054,0.0266,0.6056,0.6026,0.3984
