"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0554,0.0234,0.0558,0.0558,0.041
0.5,0.086,0.0282,0.0864,0.0872,0.066
1,0.1226,0.0328,0.1232,0.1236,0.106
1.5,0.189,0.0332,0.1884,0.1902,0.1596
2,0.2648,0.0326,0.2626,0.2656,0.2308
2.5,0.3294,0.0384,0.3282,0.3304,0.319
3,0.4318,0.0454,0.4354,0.4326,0.445
3.5,0.522,0.0464,0.522,0.5232,0.5396
4,0.6188,0.0456,0.62,0.621,0.6568
