"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0532,0.0344,0.0528,0.0516,0.0636
0.5,0.0976,0.0344,0.0974,0.0958,0.0996
1,0.1434,0.03,0.1422,0.1396,0.1278
1.5,0.1986,0.0322,0.1976,0.1956,0.1708
2,0.2714,0.0346,0.2702,0.2682,0.2214
2.5,0.345,0.0326,0.3442,0.3402,0.2738
3,0.4352,0.0292,0.4354,0.4318,0.351
3.5,0.5154,0.0326,0.5146,0.511,0.4072
4,0.586,0.0374,0.587,0.5822,0.4576
