"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0502,0.0278,0.0498,0.0502,0.0448
0.2,0.0652,0.0254,0.0662,0.0652,0.0612
0.4,0.0712,0.0252,0.0714,0.0712,0.0636
0.8,0.1096,0.0286,0.1104,0.1096,0.0848
1.6,0.1992,0.0368,0.1992,0.199,0.155
3.2,0.4822,0.0422,0.4828,0.4822,0.3836
