"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.062,0.0155,0.063,0.0615,0.0625
1,0.136,0.0235,0.135,0.1355,0.107
2,0.2695,0.025,0.2685,0.269,0.2045
3,0.434,0.036,0.434,0.434,0.3385
