"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.061,0.0095,0.061,0.045,0.0455
1,0.1225,1,0.121,0.0935,1
2,0.227,1,0.227,0.1815,1
3,0.364,1,0.3645,0.2865,1
