"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0525,0.0085,0.0525,0.0515,0.0775
1,0.1375,0.0115,0.137,0.135,0.1385
2,0.2665,0.014,0.2655,0.2625,0.227
3,0.4165,0.0095,0.4175,0.4135,0.313
