"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.068,0.0344,0.0688,0.055,0.0466
0.2,0.0864,0.3582,0.086,0.07,0.9894
0.4,0.093,0.8438,0.0932,0.0748,1
0.8,0.1134,0.9998,0.1138,0.091,1
1.6,0.1828,1,0.1818,0.1518,1
3.2,0.4028,1,0.4032,0.3426,1
