"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0735,0.014,0.0745,0.062,0.047
1,0.1325,1,0.1315,0.114,1
2,0.227,1,0.2295,0.194,1
3,0.388,1,0.3885,0.3365,1
