"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0724,0.0374,0.0728,0.0634,0.043
0.2,0.0906,0.2228,0.0902,0.0764,0.999
0.4,0.092,0.5272,0.0938,0.0772,1
0.8,0.1214,0.9612,0.1202,0.1002,1
1.6,0.19,1,0.1884,0.1562,1
3.2,0.405,1,0.4078,0.3462,1
