"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.073,0.013,0.074,0.0605,0.054
1,0.118,0.969,0.1175,0.091,1
2,0.2475,1,0.2485,0.1875,1
3,0.367,1,0.367,0.3015,1
