"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0515,0.009,0.052,0.0515,0.0525
1,0.137,0.0175,0.1375,0.135,0.1285
2,0.2625,0.0165,0.261,0.261,0.255
3,0.4225,0.016,0.421,0.4195,0.4575
