"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0756,0.0266,0.075,0.0698,0.0528
0.2,0.0906,0.031,0.09,0.0824,0.0814
0.4,0.0884,0.0366,0.0886,0.0828,0.1118
0.8,0.1184,0.039,0.1192,0.1098,0.2058
1.6,0.1844,0.0676,0.1838,0.1742,0.497
3.2,0.4348,0.147,0.4346,0.4178,0.9188
