"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0764,0.023,0.077,0.0564,0.0478
0.2,0.0794,0.3896,0.0796,0.0604,1
0.4,0.0936,0.9104,0.0934,0.0762,1
0.8,0.1246,1,0.125,0.099,1
1.6,0.1812,1,0.1806,0.145,1
3.2,0.4058,1,0.406,0.3324,1
