"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.06,0.012,0.061,0.0575,0.075
1,0.139,0.0115,0.14,0.137,0.1495
2,0.261,0.0095,0.2605,0.2565,0.259
3,0.4305,0.012,0.43,0.4255,0.393
