"SNR","CX","SC","NEW"
0,0.045,0.049,0.07
1,0.103,0.11,0.102
2,0.2,0.227,0.201
3,0.468,0.413,0.394
4,0.516,0.554,0.561
5,0.556,0.724,0.727
6,0.959,0.838,0.859
7,0.99,0.923,0.947
8,0.999,0.972,0.971
9,0.964,0.986,0.987
10,0.996,0.996,0.997
