"SNR","CX","SC","NEW"
0,0.055,0.057,0.053
1,0.07,0.13,0.085
2,0.076,0.239,0.149
3,0.09,0.408,0.215
4,0.112,0.552,0.282
5,0.142,0.699,0.387
6,0.168,0.82,0.472
7,0.177,0.892,0.505
8,0.22,0.951,0.625
9,0.222,0.97,0.672
10,0.292,0.987,0.773
