"SNR","CX","SC","NEW"
0,0.08,0.02,0.05
1,0.09,0.01,0.07
2,0.09,0.03,0.06
3,0.15,0.06,0.18
4,0.17,0.09,0.29
5,0.2,0.04,0.27
6,0.27,0.06,0.44
7,0.21,0.11,0.54
8,0.36,0.06,0.64
9,0.29,0.08,0.72
10,0.48,0.09,0.74
