"Rho","CQ","SR","CLX","FZWZ","NEW"
0,0.99,0.4,0.17,0.86,0.79
0.1,0.78,0.31,0.18,0.47,0.73
0.2,0.37,0.32,0.13,0.11,0.82
0.3,0.19,0.34,0.18,0.05,0.83
0.4,0.12,0.28,0.31,0.07,0.78
0.5,0.06,0.28,0.17,0.02,0.74
0.6,0.04,0.32,0.2,0,0.68
0.7,0.05,0.3,0.23,0.04,0.78
0.8,0.06,0.3,0.16,0.07,0.8
0.9,0.03,0.31,0.26,0.01,0.77
