"SNR","CX","SC","NEW"
0,0.063,0.054,0.058
1,0.141,0.12,0.115
2,0.181,0.209,0.169
3,0.692,0.367,0.244
4,0.753,0.539,0.42
5,0.828,0.69,0.509
6,0.809,0.812,0.622
7,1,0.882,0.78
8,0.993,0.955,0.789
9,1,0.979,0.911
10,1,0.991,0.877
