"SNR","CX","SC","NEW"
0,0.048,0.045,0.046
1,0.079,0.055,0.082
2,0.097,0.054,0.119
3,0.133,0.069,0.167
4,0.149,0.062,0.212
5,0.204,0.06,0.281
6,0.252,0.06,0.352
7,0.31,0.072,0.429
8,0.372,0.088,0.529
9,0.427,0.083,0.547
10,0.449,0.093,0.619
