"SNR","CX","SC","NEW"
0,0.052,0.055,0.047
1,0.068,0.124,0.065
2,0.085,0.233,0.112
3,0.11,0.388,0.161
4,0.12,0.53,0.184
5,0.167,0.708,0.238
6,0.196,0.807,0.261
7,0.217,0.875,0.318
8,0.234,0.935,0.378
9,0.312,0.965,0.407
10,0.334,0.976,0.505
