"SNR","CX","SC","NEW"
0,0.054,0.047,0.047
1,0.064,0.049,0.112
2,0.082,0.057,0.174
3,0.108,0.036,0.326
4,0.124,0.061,0.487
5,0.121,0.064,0.623
6,0.158,0.062,0.78
7,0.151,0.057,0.862
8,0.195,0.058,0.918
9,0.221,0.074,0.963
10,0.228,0.068,0.982
