"SNR","CX","SC","NEW"
0,0.038,0.043,0.037
1,0.064,0.054,0.076
2,0.101,0.052,0.097
3,0.144,0.06,0.169
4,0.181,0.06,0.22
5,0.236,0.063,0.295
6,0.285,0.07,0.333
7,0.344,0.081,0.425
8,0.401,0.082,0.513
9,0.455,0.079,0.6
10,0.522,0.076,0.641
