"SNR","CX","SC","NEW"
0,0.07,0.07,0.02
1,0.06,0.04,0.06
2,0.08,0.08,0.19
3,0.13,0.07,0.16
4,0.13,0.05,0.24
5,0.12,0.07,0.33
6,0.17,0.08,0.54
7,0.17,0.02,0.46
8,0.31,0.1,0.61
9,0.32,0.09,0.65
10,0.34,0.06,0.71
