"SNR","CX","SC","NEW"
0,0.065,0.049,0.052
1,0.084,0.048,0.103
2,0.093,0.055,0.155
3,0.114,0.065,0.27
4,0.129,0.054,0.303
5,0.151,0.048,0.434
6,0.203,0.051,0.553
7,0.22,0.057,0.661
8,0.261,0.077,0.765
9,0.275,0.064,0.823
10,0.367,0.059,0.9
