"SNR","CX","SC","NEW"
0,0.03,0.06,0.02
1,0.07,0.07,0.1
2,0.08,0.04,0.15
3,0.07,0.07,0.23
4,0.14,0.06,0.25
5,0.24,0.06,0.41
6,0.28,0.1,0.51
7,0.24,0.11,0.59
8,0.34,0.06,0.67
9,0.32,0.07,0.79
10,0.31,0.13,0.78
