"SNR","CX","SC","NEW"
0,0.052,0.04,0.042
1,0.126,0.12,0.112
2,0.33,0.26,0.21
3,0.759,0.385,0.341
4,0.744,0.573,0.515
5,0.871,0.697,0.693
6,0.822,0.824,0.766
7,0.979,0.916,0.903
8,1,0.965,0.954
9,0.999,0.981,0.979
10,0.989,0.996,0.988
