"SNR","CX","SC","NEW"
0,0.044,0.055,0.057
1,0.049,0.116,0.087
2,0.067,0.241,0.161
3,0.097,0.417,0.227
4,0.103,0.556,0.309
5,0.14,0.687,0.394
6,0.162,0.823,0.547
7,0.173,0.896,0.646
8,0.195,0.948,0.749
9,0.224,0.979,0.809
10,0.254,0.989,0.881
