"SNR","CX","SC","NEW"
0,0.07,0.03,0.07
1,0.08,0.04,0.1
2,0.17,0.13,0.13
3,0.13,0.03,0.27
4,0.14,0.05,0.32
5,0.2,0.06,0.36
6,0.13,0.06,0.55
7,0.28,0.06,0.6
8,0.37,0.05,0.72
9,0.43,0.07,0.78
10,0.41,0.07,0.8
