"SNR","CX","SC","NEW"
0,0.053,0.059,0.052
1,0.068,0.041,0.083
2,0.08,0.075,0.167
3,0.093,0.057,0.261
4,0.135,0.066,0.418
5,0.156,0.065,0.566
6,0.169,0.066,0.695
7,0.193,0.077,0.809
8,0.226,0.076,0.878
9,0.251,0.099,0.931
10,0.279,0.11,0.96
