"SNR","CX","SC","NEW"
0,0.052,0.046,0.043
1,0.054,0.056,0.082
2,0.086,0.05,0.146
3,0.094,0.058,0.258
4,0.116,0.053,0.375
5,0.139,0.058,0.535
6,0.169,0.07,0.666
7,0.19,0.054,0.774
8,0.2,0.064,0.851
9,0.229,0.059,0.915
10,0.245,0.064,0.93
