"SNR","CX","SC","NEW"
0,0.04,0.01,0.05
1,0.07,0.04,0.06
2,0.06,0.03,0.16
3,0.09,0.07,0.18
4,0.18,0.04,0.31
5,0.25,0.04,0.42
6,0.21,0.06,0.39
7,0.19,0.05,0.45
8,0.44,0.09,0.7
9,0.31,0.07,0.75
10,0.5,0.09,0.73
