"SNR","CX","SC","NEW"
0,0.059,0.047,0.047
1,0.062,0.062,0.093
2,0.071,0.049,0.127
3,0.102,0.057,0.22
4,0.146,0.053,0.339
5,0.146,0.067,0.484
6,0.16,0.057,0.588
7,0.185,0.057,0.707
8,0.201,0.062,0.829
9,0.23,0.064,0.896
10,0.288,0.062,0.913
