"SNR","CX","SC","NEW"
0,0.046,0.053,0.043
1,0.062,0.046,0.109
2,0.064,0.055,0.149
3,0.104,0.054,0.228
4,0.133,0.056,0.32
5,0.19,0.036,0.419
6,0.21,0.057,0.5
7,0.246,0.054,0.586
8,0.314,0.051,0.707
9,0.351,0.057,0.783
10,0.405,0.061,0.828
