"SNR","CX","SC","NEW"
0,0.049,0.044,0.047
1,0.066,0.053,0.084
2,0.111,0.058,0.114
3,0.112,0.049,0.166
4,0.157,0.063,0.249
5,0.216,0.057,0.311
6,0.243,0.06,0.398
7,0.291,0.066,0.543
8,0.299,0.065,0.611
9,0.392,0.06,0.709
10,0.417,0.071,0.766
