"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0508,0.032,0.0512,0.0506,0.0428
1,0.1318,0.0372,0.1328,0.1316,0.101
2,0.2606,0.0492,0.2614,0.2604,0.2204
3,0.4258,0.055,0.4284,0.4256,0.4012
4,0.6104,0.0696,0.6114,0.6094,0.5966
