"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0772,0.0358,0.0772,0.0628,0.0466
0.2,0.087,0.37,0.0874,0.0712,0.991
0.4,0.0906,0.843,0.0908,0.0748,1
0.6,0.1028,0.9932,0.1034,0.0842,1
0.8,0.1242,1,0.1246,0.1042,1
