"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0554,0.029,0.0552,0.0548,0.0474
1,0.1336,0.0282,0.133,0.132,0.0896
2,0.263,0.0282,0.2622,0.2596,0.1636
3,0.4296,0.0216,0.4306,0.4276,0.2752
4,0.6064,0.0262,0.6054,0.603,0.3934
