"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0558,0.0262,0.0562,0.0554,0.0418
1,0.1364,0.0232,0.1372,0.1344,0.0966
2,0.2612,0.0262,0.2618,0.2598,0.2094
3,0.4382,0.0202,0.4378,0.4354,0.351
4,0.6158,0.032,0.6152,0.6136,0.5244
