"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0556,0.0308,0.0564,0.0548,0.055
1,0.1374,0.0308,0.1368,0.135,0.1114
2,0.2748,0.0316,0.2758,0.2736,0.193
3,0.4304,0.0344,0.431,0.4258,0.2912
4,0.597,0.0376,0.5978,0.5924,0.423
