"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0522,0.0244,0.053,0.0522,0.046
0.2,0.0624,0.03,0.0626,0.0624,0.0546
0.4,0.0792,0.03,0.0782,0.0792,0.0686
0.8,0.1142,0.0308,0.1152,0.1142,0.0962
1.6,0.199,0.0356,0.1984,0.199,0.1882
3.2,0.471,0.0476,0.471,0.471,0.4954
