"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0776,0.0352,0.0772,0.0706,0.053
0.2,0.0824,0.0426,0.0824,0.076,0.086
0.4,0.0982,0.0596,0.099,0.091,0.1726
0.8,0.1166,0.0932,0.1168,0.1084,0.4016
1.6,0.1942,0.2238,0.193,0.1784,0.8486
3.2,0.4164,0.5358,0.4178,0.3826,1
