"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0536,0.0268,0.0534,0.0512,0.0498
0.2,0.0722,0.025,0.0712,0.0704,0.0616
0.4,0.079,0.0286,0.0798,0.0774,0.0726
0.8,0.1172,0.0278,0.117,0.1154,0.0992
1.6,0.208,0.0228,0.2074,0.2058,0.1608
3.2,0.4772,0.0328,0.4796,0.4754,0.3978
