"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0544,0.0362,0.0554,0.0542,0.0446
0.2,0.0672,0.035,0.0664,0.067,0.05
0.4,0.0828,0.038,0.082,0.0826,0.061
0.8,0.1078,0.042,0.1096,0.1078,0.0776
1.6,0.207,0.049,0.2064,0.207,0.1594
3.2,0.4728,0.0628,0.4752,0.472,0.428
