"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0516,0.0308,0.052,0.0516,0.0412
0.2,0.0662,0.036,0.0652,0.0662,0.0478
0.4,0.0782,0.0418,0.079,0.078,0.0554
0.8,0.1042,0.0374,0.1032,0.104,0.0726
1.6,0.2074,0.046,0.2088,0.2072,0.1318
3.2,0.467,0.0802,0.465,0.4668,0.3214
