"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0748,0.025,0.075,0.0566,0.0426
0.2,0.0872,0.1984,0.0874,0.0688,1
0.4,0.0954,0.526,0.0948,0.0768,1
0.8,0.1096,0.9672,0.1106,0.0886,1
1.6,0.1904,1,0.1908,0.156,1
3.2,0.3982,1,0.3986,0.3276,1
