"SNR","CX","SC","NEW"
0,0.045,0.041,0.054
1,0.074,0.061,0.099
2,0.092,0.066,0.128
3,0.097,0.07,0.207
4,0.117,0.05,0.249
5,0.147,0.057,0.334
6,0.204,0.057,0.444
7,0.215,0.065,0.523
8,0.247,0.074,0.618
9,0.274,0.073,0.65
10,0.291,0.069,0.729
