"SNR","CX","SC","NEW"
0,0.047,0.044,0.052
1,0.074,0.056,0.074
2,0.12,0.045,0.133
3,0.107,0.046,0.197
4,0.16,0.062,0.271
5,0.207,0.064,0.386
6,0.199,0.061,0.485
7,0.234,0.071,0.577
8,0.266,0.072,0.648
9,0.319,0.081,0.718
10,0.304,0.075,0.784
