"SNR","CX","SC","NEW"
0,0.051,0.05,0.051
1,0.089,0.05,0.089
2,0.09,0.04,0.119
3,0.118,0.057,0.242
4,0.131,0.057,0.328
5,0.149,0.052,0.458
6,0.192,0.047,0.583
7,0.221,0.074,0.685
8,0.263,0.078,0.775
9,0.245,0.068,0.838
10,0.297,0.089,0.904
