"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0536,0.0234,0.0534,0.0542,0.0434
0.5,0.085,0.0304,0.0848,0.0856,0.0688
1,0.1362,0.0354,0.1362,0.1368,0.0976
1.5,0.1838,0.0342,0.1836,0.1844,0.1314
2,0.2522,0.0356,0.2526,0.2534,0.1834
2.5,0.3484,0.0394,0.3474,0.3504,0.2454
3,0.4328,0.043,0.4346,0.4336,0.3138
3.5,0.531,0.0472,0.5314,0.5328,0.4064
4,0.6212,0.0562,0.6222,0.6232,0.491
