"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0768,0.0244,0.0772,0.0744,0.046
0.5,0.1046,0.1572,0.104,0.0988,0.1374
1,0.1234,0.4712,0.1228,0.1152,0.3364
1.5,0.1778,0.8464,0.1768,0.1676,0.6722
2,0.23,0.9684,0.2304,0.2186,0.8522
2.5,0.2988,0.9986,0.2986,0.2864,0.9736
3,0.3626,0.9998,0.3632,0.3484,0.9966
3.5,0.47,1,0.471,0.4532,0.9998
4,0.5744,1,0.575,0.5562,0.9998
