"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.068,0.0284,0.0674,0.0664,0.043
0.5,0.1028,0.0278,0.1014,0.0956,0.1274
1,0.1372,0.04,0.1372,0.1294,0.275
1.5,0.1796,0.0566,0.1808,0.171,0.4622
2,0.2406,0.0762,0.241,0.228,0.6286
2.5,0.311,0.0996,0.311,0.2958,0.8032
3,0.393,0.1444,0.3932,0.3768,0.8988
3.5,0.4776,0.1624,0.4786,0.46,0.962
4,0.571,0.1716,0.5706,0.5526,0.9786
