"SNR","SC","CX","HBWW","ZGZ","Asy"
0,0.0522,0.0298,0.052,0.0522,0.0458
1,0.1266,0.0344,0.1266,0.1266,0.1034
2,0.2658,0.0402,0.2644,0.2656,0.24
3,0.4342,0.0394,0.4348,0.4342,0.435
4,0.6246,0.0426,0.6242,0.6246,0.6612
